game,log,mc_value,noise,player,rs_value
safety,bpi_2013_incidents,0.0,0.5,Seq2@2@2,0.0
safety,bpi_2013_incidents,0.0,0.5,Seq2@1,0.0
satisfiability,sepsis,0.368,0.5,Seq2@3@1,0.524546
satisfiability,sepsis,0.219,0.5,Seq2@6@1,0.228019
satisfiability,sepsis,0.108,0.5,Seq2@3@3,0.123878
satisfiability,sepsis,0.104,0.5,Seq2@4@2,0.124226
satisfiability,sepsis,0.101,0.5,Seq2@3@2,0.119975
satisfiability,sepsis,0.101,0.5,Seq2@4@1,0.077273
satisfiability,sepsis,0.038,0.5,Seq2@6@2,0.003297
satisfiability,sepsis,0.005,0.5,Seq2@3@4,-0.074653
satisfiability,sepsis,0.0,0.5,Seq5@2,-0.144161
satisfiability,sepsis,0.0,0.5,Seq2@1,-0.125626
satisfiability,sepsis,-0.044,0.5,Seq3@5,-0.272806
liveness,sepsis,0.005,0.5,Seq2@3@2,0.00979
liveness,sepsis,0.003,0.5,Seq2@3@3,0.01059
liveness,sepsis,0.002,0.5,Seq2@3@1,0.010836
liveness,sepsis,0.001,0.5,Seq2@4@1,0.009831
liveness,sepsis,0.0,0.5,Seq2@3@4,-0.001017
liveness,sepsis,0.0,0.5,Seq5@2,0.001355
liveness,sepsis,0.0,0.5,Seq2@1,-0.002946
liveness,sepsis,-0.001,0.5,Seq2@6@1,-0.00536
liveness,sepsis,-0.002,0.5,Seq2@6@2,-0.005405
liveness,sepsis,-0.003,0.5,Seq2@4@2,-0.005521
liveness,sepsis,-0.005,0.5,Seq3@5,-0.005189
safety,sepsis,0.0,0.5,Seq2@3@1,0.0
safety,sepsis,0.0,0.5,Seq2@3@2,0.0
safety,sepsis,0.0,0.5,Seq2@3@3,0.0
safety,sepsis,0.0,0.5,Seq2@6@1,0.0
safety,sepsis,0.0,0.5,Seq2@6@2,0.0
safety,sepsis,0.0,0.5,Seq3@5,0.0
safety,sepsis,0.0,0.5,Seq2@4@1,0.0
safety,sepsis,0.0,0.5,Seq2@4@2,0.0
safety,sepsis,0.0,0.5,Seq2@3@4,0.0
safety,sepsis,0.0,0.5,Seq5@2,0.0
safety,sepsis,0.0,0.5,Seq2@1,0.0
satisfiability,bpi_2013_incidents,0.356,0.0,Seq2@6@2,0.414585
satisfiability,bpi_2013_incidents,0.182,0.0,Seq2@2@1,0.183874
satisfiability,bpi_2013_incidents,0.131,0.0,Seq2@4@1,0.199159
satisfiability,bpi_2013_incidents,0.05,0.0,Seq2@5@2,0.001762
satisfiability,bpi_2013_incidents,0.043,0.0,Seq2@6@1,0.002235
satisfiability,bpi_2013_incidents,0.031,0.0,Seq2@4@2,0.044017
satisfiability,bpi_2013_incidents,0.012,0.0,Seq2@2@2,-0.004379
satisfiability,bpi_2013_incidents,0.003,0.0,Seq2@3@2,-0.035311
satisfiability,bpi_2013_incidents,0.0,0.0,Seq2@1,-0.028391
satisfiability,bpi_2013_incidents,-0.253,0.0,Seq2@5@1,-0.169149
satisfiability,bpi_2013_incidents,-0.263,0.0,Seq2@3@1,-0.129183
satisfiability,bpi_2013_incidents,-0.292,0.0,Seq2@7,-0.203679
liveness,bpi_2013_incidents,0.0,0.0,Seq2@3@1,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@2@1,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@5@1,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@4@1,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@7,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@6@1,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@6@2,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@5@2,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@4@2,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@3@2,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@2@2,0.0
liveness,bpi_2013_incidents,0.0,0.0,Seq2@1,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@3@1,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@2@1,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@5@1,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@4@1,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@7,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@6@1,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@6@2,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@5@2,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@4@2,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@3@2,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@2@2,0.0
safety,bpi_2013_incidents,0.0,0.0,Seq2@1,0.0
satisfiability,road_traffic_fines,0.343,0.5,Seq2@7@2,0.425112
satisfiability,road_traffic_fines,0.28,0.5,Seq2@5@1,0.386932
satisfiability,road_traffic_fines,0.113,0.5,Seq2@6@1,0.184247
satisfiability,road_traffic_fines,0.1,0.5,Seq2@6@2,0.06097
satisfiability,road_traffic_fines,0.088,0.5,Seq2@4@2,0.114046
satisfiability,road_traffic_fines,0.029,0.5,Seq3@7,-0.011803
satisfiability,road_traffic_fines,0.028,0.5,Seq2@7@1,0.010034
satisfiability,road_traffic_fines,0.012,0.5,Seq2@4@1,-0.067748
satisfiability,road_traffic_fines,0.007,0.5,Seq2@5@2,-0.08396
satisfiability,road_traffic_fines,0.0,0.5,Seq2@3,-0.080262
satisfiability,road_traffic_fines,0.0,0.5,Seq2@2,-0.094161
satisfiability,road_traffic_fines,0.0,0.5,Seq2@1,-0.107956
liveness,road_traffic_fines,0.019,0.5,Seq2@5@1,0.039106
liveness,road_traffic_fines,0.011,0.5,Seq2@5@2,0.025685
liveness,road_traffic_fines,0.007,0.5,Seq2@6@1,0.00091
liveness,road_traffic_fines,0.006,0.5,Seq2@6@2,-0.000234
liveness,road_traffic_fines,0.0,0.5,Seq2@4@1,0.008125
liveness,road_traffic_fines,0.0,0.5,Seq2@3,0.003432
liveness,road_traffic_fines,0.0,0.5,Seq2@2,-0.010716
liveness,road_traffic_fines,0.0,0.5,Seq2@1,0.000347
liveness,road_traffic_fines,-0.008,0.5,Seq2@4@2,-0.021892
liveness,road_traffic_fines,-0.01,0.5,Seq2@7@1,-0.021705
liveness,road_traffic_fines,-0.012,0.5,Seq3@7,-0.021705
liveness,road_traffic_fines,-0.013,0.5,Seq2@7@2,-0.021909
safety,road_traffic_fines,0.0,0.5,Seq2@5@1,0.0
safety,road_traffic_fines,0.0,0.5,Seq3@7,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@6@1,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@7@1,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@7@2,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@6@2,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@5@2,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@4@1,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@4@2,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@3,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@2,0.0
safety,road_traffic_fines,0.0,0.5,Seq2@1,0.0
satisfiability,road_traffic_fines,0.322,0.25,Seq2@7@1,0.510954
satisfiability,road_traffic_fines,0.299,0.25,Seq2@3@1,0.411085
satisfiability,road_traffic_fines,0.096,0.25,Seq2@7@4,0.123135
satisfiability,road_traffic_fines,0.091,0.25,Seq2@3@2,0.146776
satisfiability,road_traffic_fines,0.081,0.25,Seq2@7@2,0.11631
satisfiability,road_traffic_fines,0.074,0.25,Seq2@7@3,0.126581
satisfiability,road_traffic_fines,0.02,0.25,Seq2@4,-0.069758
satisfiability,road_traffic_fines,0.015,0.25,Seq3@4,-0.0671
satisfiability,road_traffic_fines,0.007,0.25,Seq2@5@1,0.013871
satisfiability,road_traffic_fines,0.005,0.25,Seq2@3@3,-0.053836
satisfiability,road_traffic_fines,0.0,0.25,Seq3@2,-0.103782
